Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
1741711718.1823597,-0.506178,0.855098,0.1733009999999999,-0.315,-0.21875,0.60375
1741711718.18478,-0.510021,0.858453,0.169153,-0.20125,-0.16625,0.5687500000000001
1741711718.187218,-0.506361,0.858575,0.169214,-0.28875,-0.11375,0.5162500000000001
1741711718.189683,-0.509655,0.856989,0.168787,-0.315,-0.21875,0.6212500000000001
1741711718.19203,-0.512339,0.856501,0.169519,-0.20125,-0.11375,0.69125
1741711718.1943457,-0.512888,0.854915,0.172874,-0.14,-0.18375,0.5775
1741711718.1967995,-0.507947,0.858026,0.17141,-0.3675,-0.1575,0.7262500000000001
1741711718.2000017,-0.507032,0.8601,0.173545,-0.23625,-0.20125,0.4725
1741711718.2029374,-0.509716,0.85766,0.1711659999999999,-0.21,-0.0875,0.6212500000000001
1741711718.2053444,-0.50691,0.855159,0.167689,-0.3675,-0.245,0.5950000000000001
1741711718.2079463,-0.508252,0.85461,0.172569,-0.30625,-0.14,0.58625
1741711718.210517,-0.508374,0.857721,0.168604,-0.28,-0.18375,0.69125
1741711718.2132268,-0.504958,0.859368,0.168543,-0.3325,-0.1925,0.5337500000000001
1741711718.21569,-0.509411,0.858514,0.170068,-0.2275,-0.0875,0.63875
1741711718.218355,-0.511058,0.858575,0.170983,-0.1225,-0.32375,0.5162500000000001
1741711718.2208896,-0.507642,0.8571719999999999,0.169336,-0.2275,-0.18375,0.665
1741711718.223478,-0.507764,0.85522,0.169336,-0.21,-0.0525,0.5687500000000001
1741711718.2260854,-0.510692,0.8556469999999999,0.164273,-0.2975,-0.18375,0.5950000000000001
1741711718.228325,-0.506178,0.8547319999999999,0.169702,-0.28,-0.18375,0.525
1741711718.2307203,-0.506178,0.858636,0.170434,-0.28875,-0.1575,0.7175
1741711718.233283,-0.510631,0.8577819999999999,0.1714709999999999,-0.2275,-0.35875,0.5950000000000001
1741711718.2366917,-0.510509,0.8571719999999999,0.1723859999999999,-0.35875,-0.14875,0.5337500000000001
1741711718.239813,-0.508801,0.859368,0.1705559999999999,-0.30625,-0.14,0.665
1741711718.2423978,-0.50569,0.860405,0.1767169999999999,-0.23625,-0.27125,0.6212500000000001
1741711718.2449093,-0.511302,0.855891,0.168604,-0.23625,-0.23625,0.6125
1741711718.2473905,-0.511058,0.854244,0.167628,-0.35875,-0.1575,0.6212500000000001
1741711718.249807,-0.508801,0.8580869999999999,0.1733009999999999,-0.34125,-0.16625,0.6562500000000001
1741711718.25215,-0.504775,0.858941,0.177388,-0.23625,-0.0525,0.5075000000000001
1741711718.2546062,-0.506483,0.85705,0.169519,-0.13125,-0.21875,0.5687500000000001
1741711718.2569473,-0.507154,0.858026,0.174277,-0.3325,-0.30625,0.5075000000000001
1741711718.2593048,-0.510631,0.857294,0.169458,-0.30625,-0.23625,0.6562500000000001
1741711718.2616189,-0.505873,0.859673,0.17507,-0.21875,-0.0875,0.6212500000000001
1741711718.263795,-0.506666,0.856318,0.17446,-0.1925,-0.1225,0.805
1741711718.2659698,-0.506727,0.857538,0.172569,-0.245,-0.14,0.6212500000000001
1741711718.2685149,-0.506849,0.856379,0.170129,-0.14,-0.1925,0.5775
1741711718.2710178,-0.508862,0.8586969999999999,0.1733009999999999,-0.21875,-0.175,0.58625
1741711718.273975,-0.510265,0.856745,0.171532,-0.23625,-0.14,0.6737500000000001
1741711718.276345,-0.505019,0.8550369999999999,0.171837,-0.32375,-0.1925,0.7875000000000001
1741711718.2788355,-0.508069,0.857721,0.166957,-0.14,-0.04375,0.6300000000000001
1741711718.281214,-0.505995,0.8583919999999999,0.172813,-0.21,-0.175,0.7262500000000001
1741711718.283419,-0.50752,0.871324,0.1708609999999999,-0.16625,-0.2275,0.63875
1741711718.285747,-0.505568,0.85705,0.170739,-0.175,-0.14875,0.7262500000000001
1741711718.28892,-0.509045,0.8571719999999999,0.170739,-0.1925,-0.13125,0.56
1741711718.291912,-0.504104,0.8571719999999999,0.172203,-0.2975,-0.2275,0.5162500000000001
1741711718.2943137,-0.511668,0.85949,0.170617,-0.23625,-0.02625,0.5425000000000001
1741711718.2967677,-0.506361,0.85705,0.173423,-0.2625,-0.07875,0.42875
1741711718.2991638,-0.509594,0.855769,0.169458,-0.25375,-0.18375,0.5075000000000001
1741711718.3015394,-0.509106,0.859063,0.167628,-0.18375,-0.2275,0.5687500000000001
1741711718.3037798,-0.502945,0.857111,0.175131,-0.30625,-0.07875,0.5950000000000001
1741711718.3061888,-0.502762,0.8580869999999999,0.172813,-0.28875,-0.245,0.55125
1741711718.3098526,-0.512583,0.85888,0.1723859999999999,-0.3675,-0.18375,0.6125
1741711718.312547,-0.510448,0.8571719999999999,0.169824,-0.21,-0.16625,0.60375
1741711718.3148634,-0.509411,0.856928,0.169092,-0.32375,-0.20125,0.5687500000000001
1741711718.3170972,-0.505446,0.858575,0.174704,-0.27125,-0.18375,0.6300000000000001
1741711718.3194046,-0.507825,0.858514,0.1665299999999999,-0.315,-0.25375,0.6125
1741711718.322004,-0.511729,0.855281,0.173362,-0.21875,-0.18375,0.6125
1741711718.3245478,-0.508984,0.855525,0.1668349999999999,-0.14875,-0.175,0.5425000000000001
1741711718.3275728,-0.512888,0.858941,0.168848,-0.25375,-0.30625,0.6475000000000001
1741711718.3300834,-0.507398,0.8583919999999999,0.1729959999999999,-0.14875,-0.04375,0.49
1741711718.332589,-0.507947,0.854,0.167994,-0.315,-0.23625,0.58625
1741711718.3349712,-0.507947,0.8565619999999999,0.167811,-0.21875,-0.14,0.6300000000000001
1741711718.3374498,-0.507032,0.8544269999999999,0.17202,-0.2275,-0.245,0.5425000000000001
1741711718.3398285,-0.508862,0.85949,0.170068,-0.27125,-0.14,0.6212500000000001
1741711718.3423128,-0.509167,0.8559519999999999,0.170129,-0.18375,-0.23625,0.58625
1741711718.3455148,-0.506605,0.859063,0.1705559999999999,-0.3325,-0.18375,0.6475000000000001
1741711718.3486564,-0.504958,0.8568669999999999,0.175497,-0.21875,-0.175,0.5337500000000001
1741711718.3510485,-0.507032,0.855891,0.170922,-0.2275,-0.2275,0.6562500000000001
1741711718.3537004,-0.505629,0.854488,0.17446,-0.245,-0.07,0.5775
1741711718.3560011,-0.505751,0.854793,0.17324,-0.4025,-0.0175,0.6825000000000001
1741711718.3584814,-0.508008,0.85522,0.169641,-0.35,-0.1225,0.5425000000000001
1741711718.3607082,-0.508801,0.857843,0.169641,-0.25375,-0.2625,0.58625
1741711718.3643184,-0.506361,0.85888,0.170983,-0.28875,-0.21875,0.6825000000000001
1741711718.3676846,-0.50935,0.856928,0.168726,-0.28,-0.14875,0.6212500000000001
1741711718.3702817,-0.508374,0.856623,0.17141,-0.21,-0.1225,0.5075000000000001
1741711718.3727975,-0.504836,0.856806,0.1705559999999999,-0.0525,-0.0875,0.5950000000000001
1741711718.3755815,-0.506666,0.857721,0.173728,-0.39375,-0.07875,0.5162500000000001
1741711718.3787532,-0.510143,0.856623,0.169824,-0.35,-0.1575,0.5425000000000001
1741711718.3820555,-0.507276,0.860954,0.171593,-0.245,-0.28,0.5687500000000001
1741711718.3850913,-0.508557,0.8580869999999999,0.174399,-0.21,-0.16625,0.58625
1741711718.3878565,-0.507886,0.854305,0.171044,-0.2975,-0.25375,0.69125
1741711718.390622,-0.507886,0.8580869999999999,0.168604,-0.16625,-0.14,0.60375
1741711718.3931112,-0.507581,0.85339,0.171349,-0.23625,-0.21875,0.5950000000000001
1741711718.3953595,-0.509472,0.855098,0.167262,-0.21,-0.2275,0.5950000000000001
1741711718.3984694,-0.508557,0.858209,0.173972,-0.27125,-0.2275,0.7000000000000001
1741711718.402001,-0.507764,0.859063,0.174521,-0.23625,-0.11375,0.63875
1741711718.4049,-0.506056,0.859856,0.170922,-0.2975,-0.21,0.5775
1741711718.407658,-0.511363,0.858026,0.168177,-0.18375,-0.25375,0.665
1741711718.410372,-0.508984,0.858636,0.170068,-0.14875,-0.1925,0.5337500000000001
